TTDTargetID	Target_Name	Indication	ICD9	ICD10
T01777	Alpha-2C adrenergic receptor	Peptic ulcer	531-534	K25-K27
T01777	Alpha-2C adrenergic receptor	Poison intoxication		T36-T50
T01822	Heme	Malaria		B54
T01840	protease	Alpha-1 antitrypsin deficiency	273.4	E88.0
T01840	protease	Alzheimer disease	331	G30
T01840	protease	Cancer	140-229	C00-C96
T01840	protease	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
T01840	protease	Coagulation		I80-I82
T01840	protease	Cystic fibrosis	277	E84
T01840	protease	Rheumatoid arthritis	710-719, 714	M05-M06
T01851	Integrin beta-1	Non-small cell lung cancer		C33-C34
T01865	Hexose transporter 1	Infection of P. falciparum 	84	B50-B54
T01908	Tissue kallikrein	Atopic dermatitis	691.8, 692.9	L00-L99
T01973	RON	Cancer	140-229	C00-C96
T01973	RON	Solid tumours	140-199, 210-229	C00-D48
T02119	Arylsulfatase B	Mucopolysaccharidosis VI	277.5	E76.2
T02134	Glutamate--cysteine ligase regulatorysubunit	Cancer; Malaria	140-229	C00-C96, B54
T02221	Nucleoside DNA polymerase	Cytomegalovirus infection		B25
T02246	Iron	Acute iron or aluminum toxicity		T56
T02246	Iron	Anemia	280-285	D50-D64
T02246	Iron	Cardiovascular disorder		I00-I99
T02246	Iron	Iron deficiency anaemia		D50
T02246	Iron	Iron overload		R79.0
T02246	Iron	Transfusional iron overload due to thalassaemia syndromes	275.03	R79.0
T02253	Cholinergic activityy	Cognitive disorders	290-294, 294.0, 780.09, 780.9, 780.93	F01-F07, F04, F05, R41.3
T02258	DNA-directed DNA polymerase	Cancer	140-229	C00-C96
T02318	Tumor necrosis factor ligand superfamily member 13B	Lymphoma	202.8, 208.9	C81-C86
T02318	Tumor necrosis factor ligand superfamily member 13B	Multiple myeloma	203	C90
T02318	Tumor necrosis factor ligand superfamily member 13B	Rheumatold arthritis; Idiopathic thrombocytopenic purpura	287.31, 710-719, 714	D69.3, M00-M25, M05-M06
T02318	Tumor necrosis factor ligand superfamily member 13B	Systemic lupus erythematosus	710	M32
T02333	Growth hormone receptor	Acromegaly	253	E22.0
T02333	Growth hormone receptor	Dwarfism		E23.0, E34.2, E45.0, Q77.4
T02333	Growth hormone receptor	Eating disorder	278, 307.5, 401, 428.0	E66, F50, I10-I16, I50
T02333	Growth hormone receptor	Growth hormone deficiency	253.0, 253.3	E22.0, E23.0
T02333	Growth hormone receptor	Obesity	278	E66
T02333	Growth hormone receptor	Unspecified		
T02532	T-cell surface antigen CD2	Cancer; Psoriasis	140-229, 696	L40
T02532	T-cell surface antigen CD2	Lymphoma	202.8, 208.9	C81-C86
T02546	Sodium channel protein type 4 subunit alpha	Nervous and musculoskeletal disorders		R25-R29
T02546	Sodium channel protein type 4 subunit alpha	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
T02551	D(3) dopamine receptor	Cocaine addiction	304.2	F14.2
T02551	D(3) dopamine receptor	Drug abuse	303-304	F10-F19
T02551	D(3) dopamine receptor	Emesis; Gastric motility disorder	294.1, 307.23, 314.00, 314.01, 320-322, 323, 331.0, 332, 333.4, 340, 344.1, 344.81, 348.0, 536.8, 787	F02.2, F02.3, F90, F95.2, G00-G37, G83.5, G93.0
T02551	D(3) dopamine receptor	Female sexual dysfunction	302.7	F52
T02551	D(3) dopamine receptor	Male sexual disorders		F52
T02551	D(3) dopamine receptor	Psychotic disorders	290-299	F20-F29
T02551	D(3) dopamine receptor	Schizophrenia	295	F20
T02551	D(3) dopamine receptor	Unspecified		
T02562	Prostaglandin E synthase	Alzheimer disease	331	G30
T02591	HIV env	HIV-1 infection	001-139, 042	B20-B24
T02591	HIV env	Human immunodeficiency virus infection	279.3	B20-B26
T02598	Leukocyte	Inflammatory disorder		
T02617	Transferrin	Cancer	140-229	C00-C96
T02677	Baculoviral IAP repeat-containing protein 5	Cancer	140-229	C00-C96
T02677	Baculoviral IAP repeat-containing protein 5	Ovarian cancer	183	C56
T02677	Baculoviral IAP repeat-containing protein 5	Solid tumours	140-199, 210-229	C00-D48
T02686	multiple oncokinase	Glioblastoma multiforme	191	C71
T02702	Bacterial DHFR	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
T02703	Nitric oxide synthase, inducible	Asthma		J45
T02703	Nitric oxide synthase, inducible	Coronary artery disease	410-414, 429.2	I20-I25
T02703	Nitric oxide synthase, inducible	Diabetic kidney disease		E11.22
T02703	Nitric oxide synthase, inducible	Endotoxic shock		R57.8
T02703	Nitric oxide synthase, inducible	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
T02703	Nitric oxide synthase, inducible	Osteoarthritis	715	M15-M19, M47
T02703	Nitric oxide synthase, inducible	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
T02703	Nitric oxide synthase, inducible	Restenosis		I51.89
T02703	Nitric oxide synthase, inducible	Septic shock	785.52	A41.9
T02719	Metabotropic glutamate receptor3	Alzheimer disease; Major depressive disorder	331, 296.2, 296.3, 710.0	G30, F32, F33, M32
T02719	Metabotropic glutamate receptor3	Anxiety disorder	300, 311	F32, F40-F42
T02719	Metabotropic glutamate receptor3	Schizophrenia	295	F20
T02728	Neurotensin receptor type 1	Acute or chronic pain	338,780	R52, G89
T02728	Neurotensin receptor type 1	Alcohol use disorders	303	F10.2
T02728	Neurotensin receptor type 1	Inflammatory bowel disease	555, 556	K50, K51
T02728	Neurotensin receptor type 1	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
T02728	Neurotensin receptor type 1	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
T02752	C-C chemokine receptor type 3	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
T02752	C-C chemokine receptor type 3	Asthma		J45
T02762	Replacing the 17 beta-estradiol and progesterone hormones the body has stopped producing as the result of menopause	Endometriosis	617	N80
T02777	SUR2-type K(ATP) channel	Angina pectoris	413	I20
T02777	SUR2-type K(ATP) channel	Diabetes	253.5, 588.1	E23.2, N25.1
T02779	mRNA	Systemic lupus erythematosus	710	M32
T02808	Interferon beta ligand	Acute lung injury	518	J80
T02808	Interferon beta ligand	Autoimmune diabetes		E08-E13
T02808	Interferon beta ligand	Glioblastoma multiforme	191	C71
T02808	Interferon beta ligand	Multiple scierosis	340	G35
T02808	Interferon beta ligand	Type 2 diabetes	250	E11
T02808	Interferon beta ligand	Unspecified		
T02890	Luteinizing hormone-releasing hormone	Prostate cancer	185	C61
T03006	Acetylcholine release inhibitor and neuromuscular blockor	Cervical cancer	180	C53
T03046	Pancreatic cancer caused by mutated versions of the RAS protein	Ras mutation positive pancreas cancer	157.0-157.9	C25
T03313	Interleukin-2 receptor alpha chain	Autoimmune diabetes		E08-E13
T03313	Interleukin-2 receptor alpha chain	Chronic lymphocytic leukaemia		C91
T03313	Interleukin-2 receptor alpha chain	Heart transplant rejection	996	T86
T03313	Interleukin-2 receptor alpha chain	Hodgkin's lymphoma		C81
T03313	Interleukin-2 receptor alpha chain	Human immunodeficiency virus infection	279.3	B20-B26
T03313	Interleukin-2 receptor alpha chain	Organ transplant rejection	279.5, 996	D89.8, T86
T03346	Interleukin-4 receptor alpha chain	Asthma		J45
T03346	Interleukin-4 receptor alpha chain	Asthma; Atopic dermatitis	493, 691.8, 692.9	J45, L20-L30
T03346	Interleukin-4 receptor alpha chain	Cancer	140-229	C00-C96
T03346	Interleukin-4 receptor alpha chain	Moderate-to-severe atopic dermatitis		L20
T03346	Interleukin-4 receptor alpha chain	Pulmonary fibrosis	515, 516.3	J84.1
T03403	Cyclooxygenase	Ankylosing spondylitis	720	M08.1, M45
T03403	Cyclooxygenase	Arthritis	710-719	M00-M25
T03403	Cyclooxygenase	Asthma		J45
T03403	Cyclooxygenase	Atopic dermatitis	691.8, 692.9	L00-L99
T03403	Cyclooxygenase	Back pain	724.5,338,780	M54, G89, R52
T03403	Cyclooxygenase	Cardiovascular disorder		I00-I99
T03403	Cyclooxygenase	Cerebrovascular ischaemia	434.91	I61-I63
T03403	Cyclooxygenase	Chemotherapy or radiotherapy-induced mucositis	338, 528.0,780	K12.3, R52, G89
T03403	Cyclooxygenase	Dysmenorrhea	625.3	N94.4-N94.6
T03403	Cyclooxygenase	Hyperglyceridemic	790.29	R73.9
T03403	Cyclooxygenase	Immuno-modulator	135, 691.8, 692.9, 710-719, 714	D86, L20, L20-L30, M00-M25, M05-M06
T03403	Cyclooxygenase	Inflammation		E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, G89
T03403	Cyclooxygenase	Inflammatory bowel disease	555, 556	K50, K51
T03403	Cyclooxygenase	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
T03403	Cyclooxygenase	Joint and muscular pain; Ankylosing spondylitis	719.4, 729.1, 338, 780, 720	M25.5, M79.1, G89, R52, M08.1, M45
T03403	Cyclooxygenase	Migraine	346	G43
T03403	Cyclooxygenase	Osteoarthritis	715	M15-M19, M47
T03403	Cyclooxygenase	Osteoarthritis of knee		M15-M19, M47
T03403	Cyclooxygenase	Otitis media		H65-H67
T03403	Cyclooxygenase	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
T03403	Cyclooxygenase	Platelet aggregatory		D69.1
T03403	Cyclooxygenase	Postoperative inflammation undergone cataract extraction		
T03403	Cyclooxygenase	Rheumatoid arthritis	710-719, 714	M05-M06
T03403	Cyclooxygenase	Type 2 diabetes; Early nephropathy; Claudication	250, 250.00, 250.02, 250.4, 338, 437.6, 443.9, 453, 580-599, 671.5, 671.9,780	E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, G89
T03403	Cyclooxygenase	Unspecified		
T03410	Mycobacterium tuberculosis membrane protein mmpL3	Asthma		J45
T03410	Mycobacterium tuberculosis membrane protein mmpL3	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
T03500	MMP-12	Aortic aneurysm		I71
T03500	MMP-12	Asthma; Chronic obstructive pulmonary disease	490-492, 493, 494-496	J40-J44, J47, J45
T03500	MMP-12	Atherosclerosis	414.0, 440	I70
T03500	MMP-12	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
T03500	MMP-12	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
T03573	CD32b	Autoimmune diabetes		E08-E13
T03634	CBP	Acute myeloid leukemia; Chronic myeloid leukemia	205.0, 205.1, 238.7	C92.0, C92.1, D46
T03644	Alpha-synuclein	Alzheimer disease	331	G30
T03644	Alpha-synuclein	Parkinson's disease	332	G20
T03661	Adenosine deaminase	Chronic pain	338.2,780	R52.1-R52.2, G89
T03661	Adenosine deaminase	Hairy cell leukemia	202.4	C91.4
T03661	Adenosine deaminase	Hematological malignancies	200-209	C81-C86
T03661	Adenosine deaminase	Immunodeficiency	279.3	D84.9
T03691	Leukotriene A-4 hydrolase	Acute myeloid leukemia	205	C92.0
T03691	Leukotriene A-4 hydrolase	Inflammatory disease	140-229, 147, 173, 573.3, 710-719	C11, C44, K75.9, M00-M25
T03691	Leukotriene A-4 hydrolase	Myocardial infarction	410	I21, I22
T03790	Unspecified enzyme	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-B99
T03790	Unspecified enzyme	Colorectal cancer	153, 154	C18-C21
T03790	Unspecified enzyme	Diabetes	253.5, 588.1	E23.2, N25.1
T03790	Unspecified enzyme	Haematological malignancies	200-209	C81-C86
T03790	Unspecified enzyme	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
T03790	Unspecified enzyme	Lysosomal storage disease		E75-E77
T03790	Unspecified enzyme	Mycobacterium infection		A31
T03790	Unspecified enzyme	Obesity	278	E66
T03790	Unspecified enzyme	Onchocerciasis		B73
T03871	mRNA of H-ras	Cancer	140-229	C00-C96
T03896	Hepatitis C virus serine protease NS3/4A	Chronic HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
T03896	Hepatitis C virus serine protease NS3/4A	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
T03917	Sodium/potassium-transporting ATPase	Congestive cardiac insufficiency; Arrhythmias; Heart failure	427, 428	I47-I49, I50
T03963	Voltage-gated ion channel	Asthma		J45
T03985	Bacteria topoisomerase	Acquired immune deficiency syndrome	42	B20
T04079	Plasmodial phospholipid metabolism	Malaria		B54
T04084	mRNA of ERBB3	Cancer	140-229	C00-C96
T04183	P-glycoprotein mediated multidrugresistance	Cancer	140-229	C00-C96
T04321	Staphylococcus aureus alpha hemolysin	Hospital-acquired pneumonia		J18.9
T04321	Staphylococcus aureus alpha hemolysin	Hospital-acquired pneumonia; Ventilator-associated pneumonia		J18.9, J95
T04321	Staphylococcus aureus alpha hemolysin	Mucolytic		J00-J99
T04321	Staphylococcus aureus alpha hemolysin	Pneumonia due to methicillin susceptible staphylococcus aureus		J15.211
T04321	Staphylococcus aureus alpha hemolysin	Ventilator-associated pneumonia		J95
T04361	Mitogen-activated protein kinase kinase kinase 7	Mantle cell lymphoma	200.4, 202.8, 203.0, 208.9	C81-C86, C85.7, C90.0, C91-C95
T04389	ATPase	Angina pectoris	413	I20
T04389	ATPase	Cognitive disorders	290-294, 294.0, 780.09, 780.9, 780.93	F01-F07, F04, F05, R41.3
T04394	Vasopressin receptor	Diabetes	253.5, 588.1	E23.2, N25.1
T04394	Vasopressin receptor	Diuretic		Y54.5
T04394	Vasopressin receptor	Heart failure	428	I50
T04394	Vasopressin receptor	Urinary incontinence	788.3	N39.3, N39.4, R32
T04507	Presynaptic density protein 95	Cerebrovascular ischaemia	434.91	I61-I63
T04689	Nicotinic acetylcholine receptor subunit alpha-1	Muscle relaxant		N39.3, N39.4, R32
T04741	Phosphoribosylaminoimidazolecarboxamide formyltransferase	Cancer	140-229	C00-C96
T04773	Stromal cell-derived factor 1	Heart failure	428	I50
T04773	Stromal cell-derived factor 1	Macular degeneration	362.5	H35.3
T04820	Cyclin-dependent protein kinase Pfmrk	Malaria		B54
T04883	Cyclooxygenase-3	Analgesia	338	R52, G89
T04883	Cyclooxygenase-3	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
T04902	Calpain	Alzheimer disease	331	G30
T04902	Calpain	Cerebral infarction		I63
T04902	Calpain	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
T04911	Hepatitis C virus protein NS4B	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
T04977	Oxalate oxidase	Hyperoxaluria		E74.8
T05031	PI3K beta	Cancer	140-229	C00-C96
T05031	PI3K beta	Solid tumours	140-199, 210-229	C00-D48
T05031	PI3K beta	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
T05114	Chymase	Atopic dermatitis	691.8, 692.9	L00-L99
T05114	Chymase	Cardiovascular disorder		I00-I99
T05114	Chymase	Gram-positive bacterial infection	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	
T05114	Chymase	Heart failure	428	I50
T05152	Hepatitis C virus NS5B polymerase	HCV genotypes 1-6		B17.1, B18.2
T05152	Hepatitis C virus NS5B polymerase	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
T05152	Hepatitis C virus NS5B polymerase	Hepatitis virus infection	573.3	K75.9
T05152	Hepatitis C virus NS5B polymerase	Unspecified		
T05196	Uric acid	Gout	274.00274.1274.8274.9	M10
T05290	Malignant cancer cells	Acute lymphoblastic leukemia	204.0, 556	C91.0
T05351	MARCKS protein	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
T05409	Neutral endopeptidase	Chronic pain	338.2,780	R52.1-R52.2, G89
T05409	Neutral endopeptidase	Female sexual dysfunction	302.7	F52
T05409	Neutral endopeptidase	Heart failure	428	I50
T05409	Neutral endopeptidase	Hypertension	401	I10-I16
T05409	Neutral endopeptidase	Hypotension	458, 796.3	I95
T05409	Neutral endopeptidase	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
T05563	H5N1 pandemic influenza virus	Influenza virus		J11.1
T05643	Leucine-rich repeat neuronal protein 1	Multiple scierosis	340	G35
T05661	Lecithin-cholesterol acyltransferase	Acute coronary syndrome	444	I74
T05849	Gastrin/cholecystokinin type B receptor	Anxiety disorder	300, 311	F32, F40-F42
T05849	Gastrin/cholecystokinin type B receptor	Caerulein stimulated gastric and pancreatic secretion		
T05849	Gastrin/cholecystokinin type B receptor	Cancer	140-229	C00-C96
T05849	Gastrin/cholecystokinin type B receptor	Diagnostic imaging	331	G30, I73.9
T05849	Gastrin/cholecystokinin type B receptor	Duodenal ulcers		K25-K27
T05849	Gastrin/cholecystokinin type B receptor	Gastroesophageal reflux disease	140-229, 530	K21
T05849	Gastrin/cholecystokinin type B receptor	Gastrointestinal disease		K00-K93
T05849	Gastrin/cholecystokinin type B receptor	Intestine cancer		C17-C20, C26
T05849	Gastrin/cholecystokinin type B receptor	Medullary thyroid cancer	193	C73
T05849	Gastrin/cholecystokinin type B receptor	Stomach disease		K30-K31
T05849	Gastrin/cholecystokinin type B receptor	Stomach ulcer		K25-K27
T05849	Gastrin/cholecystokinin type B receptor	Type 1 diabetes	250	E10
T05849	Gastrin/cholecystokinin type B receptor	Ulcerative colitis	556	K51
T05849	Gastrin/cholecystokinin type B receptor	Unspecified		
T05890	Rhinovirus capsid protein	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
T05904	Phosphodiesterase 8	Inflammatory disorder		
T05938	Mucin 16	Fallopian tube cancer; Peritoneal cancer; Ovarian cancer	140-229, 183.2, 221.0, 183	C57, D28, C56
T05938	Mucin 16	Ovarian cancer	183	C56
T06011	Transforming growth factor-beta	Anemia	280-285	D50-D64
T06037	mRNA of human Jun-N-terminal kinase-2 (JNK2)	Cancer	140-229	C00-C96
T06042	Sinus node If channel	Angina pectoris	413	I20
T06046	Nitric-oxide synthase, endothelial	Angina pectoris	413	I20
T06046	Nitric-oxide synthase, endothelial	Angina; Coronary artery disease	410-414, 413, 429.2	I20, I20-I25
T06046	Nitric-oxide synthase, endothelial	Brain injury		S09.90
T06046	Nitric-oxide synthase, endothelial	Hypertension; Angina	401, 413	I10-I16, I20
T06046	Nitric-oxide synthase, endothelial	Hypotension	458, 796.3	I95
T06046	Nitric-oxide synthase, endothelial	Myocardial infarction	410	I21, I22
T06046	Nitric-oxide synthase, endothelial	Pulmonary hypertension	416	I27.0, I27.2
T06063	DNA polymerase (HSV-2)	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
T06093	Rho associated protein kinase 2	Rheumatoid arthritis	710-719, 714	M05-M06
T06182	VIP 2 receptor	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
T06182	VIP 2 receptor	Hypertension	401	I10-I16
T06182	VIP 2 receptor	Unspecified		
T06273	Poly [ADP-ribose] polymerase-1	Ataxia telangiectasia		G11.3
T06273	Poly [ADP-ribose] polymerase-1	Brain ischaemia	435, 437	G45.9, I67.8
T06273	Poly [ADP-ribose] polymerase-1	Cancer	140-229	C00-C96
T06273	Poly [ADP-ribose] polymerase-1	Cerebrovascular disorders		I60-I69
T06273	Poly [ADP-ribose] polymerase-1	Cerebrovascular ischaemia	434.91	I61-I63
T06273	Poly [ADP-ribose] polymerase-1	Inflammatory skin condition		L00-L99
T06273	Poly [ADP-ribose] polymerase-1	Melanoma	172	C43
T06273	Poly [ADP-ribose] polymerase-1	Myocardial infarction	410	I21, I22
T06273	Poly [ADP-ribose] polymerase-1	Ovarian cancer	183	C56
T06273	Poly [ADP-ribose] polymerase-1	Permanent and transient stroke	434.91, 435.9	G45.9, I61-I63
T06273	Poly [ADP-ribose] polymerase-1	Recurrent epithelial ovarian or primary peritoneal cancer		C78
T06320	Galectin	Chronic kidney disease	403, 585.1-585.5, 585.9	N18
T06365	Alanine glyoxylate aminotransferase	Hyperoxaluria		E74.8
T06413	mRNA of PKC-alpha	Non-small cell lung cancer		C33-C34
T06421	Interferon-alpha/beta receptor	Advanced renal cell carcinoma	189	C64
